Dex Number,Name,Generation,Status,Species,Stat Total,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Type,Ability,Hidden Ability,Image
15,Beedrill,1,Normal,Poison Bee Pokémon,395,65,90,40,45,80,75,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Swarm,Sniper,![/assets/home_images/beedrill.png](/assets/home_images/beedrill.png)
15,Mega Beedrill,1,Normal,Poison Bee Pokémon,495,65,150,40,15,80,145,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Adaptability,-,![/assets/home_images/beedrill-mega.png](/assets/home_images/beedrill-mega.png)
16,Pidgey,1,Normal,Tiny Bird Pokémon,251,40,45,40,35,35,56,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Keen Eye / Tangled Feet,Big Pecks,![/assets/home_images/pidgey.png](/assets/home_images/pidgey.png)
17,Pidgeotto,1,Normal,Bird Pokémon,349,63,60,55,50,50,71,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Keen Eye / Tangled Feet,Big Pecks,![/assets/home_images/pidgeotto.png](/assets/home_images/pidgeotto.png)
18,Pidgeot,1,Normal,Bird Pokémon,479,83,80,75,70,70,101,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Keen Eye / Tangled Feet,Big Pecks,![/assets/home_images/pidgeot.png](/assets/home_images/pidgeot.png)
18,Mega Pidgeot,1,Normal,Bird Pokémon,579,83,80,80,135,80,121,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),No Guard,-,![/assets/home_images/pidgeot-mega.png](/assets/home_images/pidgeot-mega.png)
19,Rattata,1,Normal,Mouse Pokémon,253,30,56,35,25,35,72,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Run Away / Guts,Hustle,![/assets/home_images/rattata.png](/assets/home_images/rattata.png)
19,Alolan Rattata,1,Normal,Mouse Pokémon,253,30,56,35,25,35,72,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg) ![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Gluttony / Hustle,Thick Fat,![/assets/home_images/rattata-alolan.png](/assets/home_images/rattata-alolan.png)
20,Raticate,1,Normal,Mouse Pokémon,413,55,81,60,50,70,97,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Run Away / Guts,Hustle,![/assets/home_images/raticate.png](/assets/home_images/raticate.png)
20,Alolan Raticate,1,Normal,Mouse Pokémon,413,75,71,70,40,80,77,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg) ![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Gluttony / Hustle,Thick Fat,![/assets/home_images/raticate-alolan.png](/assets/home_images/raticate-alolan.png)
21,Spearow,1,Normal,Tiny Bird Pokémon,262,40,60,30,31,31,70,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Keen Eye,Sniper,![/assets/home_images/spearow.png](/assets/home_images/spearow.png)
22,Fearow,1,Normal,Beak Pokémon,442,65,90,65,61,61,100,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Keen Eye,Sniper,![/assets/home_images/fearow.png](/assets/home_images/fearow.png)
23,Ekans,1,Normal,Snake Pokémon,288,35,60,44,40,54,55,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Intimidate / Shed Skin,Unnerve,![/assets/home_images/ekans.png](/assets/home_images/ekans.png)
24,Arbok,1,Normal,Cobra Pokémon,448,60,95,69,65,79,80,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Intimidate / Shed Skin,Unnerve,![/assets/home_images/arbok.png](/assets/home_images/arbok.png)
25,Pikachu,1,Normal,Mouse Pokémon,320,35,55,40,50,50,90,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg),Static,Lightning Rod,![/assets/home_images/pikachu.png](/assets/home_images/pikachu.png)
25,Partner Pikachu,1,Normal,Mouse Pokémon,430,45,80,50,75,60,120,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg),,Lightning Rod,![/assets/home_images/pikachu-lets-go.png](/assets/home_images/pikachu-lets-go.png)
26,Raichu,1,Normal,Mouse Pokémon,485,60,90,55,90,80,110,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg),Static,Lightning Rod,![/assets/home_images/raichu.png](/assets/home_images/raichu.png)
26,Alolan Raichu,1,Normal,Mouse Pokémon,485,60,85,50,95,85,110,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg) ![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Surge Surfer,-,![/assets/home_images/raichu-alolan.png](/assets/home_images/raichu-alolan.png)
27,Sandshrew,1,Normal,Mouse Pokémon,300,50,75,85,20,30,40,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Sand Veil,Sand Rush,![/assets/home_images/sandshrew.png](/assets/home_images/sandshrew.png)
27,Alolan Sandshrew,1,Normal,Mouse Pokémon,300,50,75,90,10,35,40,![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg) ![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Snow Cloak,Slush Rush,![/assets/home_images/sandshrew-alolan.png](/assets/home_images/sandshrew-alolan.png)
28,Sandslash,1,Normal,Mouse Pokémon,450,75,100,110,45,55,65,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Sand Veil,Sand Rush,![/assets/home_images/sandslash.png](/assets/home_images/sandslash.png)
28,Alolan Sandslash,1,Normal,Mouse Pokémon,450,75,100,120,25,65,65,![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg) ![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Snow Cloak,Slush Rush,![/assets/home_images/sandslash-alolan.png](/assets/home_images/sandslash-alolan.png)
29,Nidoran♀,1,Normal,Poison Pin Pokémon,275,55,47,52,40,40,41,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Poison Point / Rivalry,Hustle,![/assets/home_images/nidoran-f.png](/assets/home_images/nidoran-f.png)
30,Nidorina,1,Normal,Poison Pin Pokémon,365,70,62,67,55,55,56,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Poison Point / Rivalry,Hustle,![/assets/home_images/nidorina.png](/assets/home_images/nidorina.png)
31,Nidoqueen,1,Normal,Drill Pokémon,505,90,92,87,75,85,76,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Poison Point / Rivalry,Sheer Force,![/assets/home_images/nidoqueen.png](/assets/home_images/nidoqueen.png)
32,Nidoran♂,1,Normal,Poison Pin Pokémon,273,46,57,40,40,40,50,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Poison Point / Rivalry,Hustle,![/assets/home_images/nidoran-m.png](/assets/home_images/nidoran-m.png)
33,Nidorino,1,Normal,Poison Pin Pokémon,365,61,72,57,55,55,65,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Poison Point / Rivalry,Hustle,![/assets/home_images/nidorino.png](/assets/home_images/nidorino.png)
34,Nidoking,1,Normal,Drill Pokémon,505,81,102,77,85,75,85,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Poison Point / Rivalry,Sheer Force,![/assets/home_images/nidoking.png](/assets/home_images/nidoking.png)
35,Clefairy,1,Normal,Fairy Pokémon,323,70,45,48,60,65,35,![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Cute Charm / Magic Guard,Friend Guard,![/assets/home_images/clefairy.png](/assets/home_images/clefairy.png)
36,Clefable,1,Normal,Fairy Pokémon,483,95,70,73,95,90,60,![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Cute Charm / Magic Guard,Unaware,![/assets/home_images/clefable.png](/assets/home_images/clefable.png)
37,Vulpix,1,Normal,Fox Pokémon,299,38,41,40,50,65,65,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Flash Fire,Drought,![/assets/home_images/vulpix.png](/assets/home_images/vulpix.png)
37,Alolan Vulpix,1,Normal,Fox Pokémon,299,38,41,40,50,65,65,![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg),Snow Cloak,Snow Warning,![/assets/home_images/vulpix-alolan.png](/assets/home_images/vulpix-alolan.png)
38,Ninetales,1,Normal,Fox Pokémon,505,73,76,75,81,100,100,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Flash Fire,Drought,![/assets/home_images/ninetales.png](/assets/home_images/ninetales.png)
38,Alolan Ninetales,1,Normal,Fox Pokémon,505,73,67,75,81,100,109,![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg) ![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Snow Cloak,Snow Warning,![/assets/home_images/ninetales-alolan.png](/assets/home_images/ninetales-alolan.png)
39,Jigglypuff,1,Normal,Balloon Pokémon,270,115,45,20,45,25,20,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Cute Charm / Competitive,Friend Guard,![/assets/home_images/jigglypuff.png](/assets/home_images/jigglypuff.png)
40,Wigglytuff,1,Normal,Balloon Pokémon,435,140,70,45,85,50,45,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Cute Charm / Competitive,Frisk,![/assets/home_images/wigglytuff.png](/assets/home_images/wigglytuff.png)
41,Zubat,1,Normal,Bat Pokémon,245,40,45,35,30,40,55,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Inner Focus,Infiltrator,![/assets/home_images/zubat.png](/assets/home_images/zubat.png)
42,Golbat,1,Normal,Bat Pokémon,455,75,80,70,65,75,90,![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Inner Focus,Infiltrator,![/assets/home_images/golbat.png](/assets/home_images/golbat.png)
43,Oddish,1,Normal,Weed Pokémon,320,45,50,55,75,65,30,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Chlorophyll,Run Away,![/assets/home_images/oddish.png](/assets/home_images/oddish.png)
44,Gloom,1,Normal,Weed Pokémon,395,60,65,70,85,75,40,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Chlorophyll,Stench,![/assets/home_images/gloom.png](/assets/home_images/gloom.png)
45,Vileplume,1,Normal,Flower Pokémon,490,75,80,85,110,90,50,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Chlorophyll,Effect Spore,![/assets/home_images/vileplume.png](/assets/home_images/vileplume.png)
46,Paras,1,Normal,Mushroom Pokémon,285,35,70,55,45,55,25,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Effect Spore / Dry Skin,Damp,![/assets/home_images/paras.png](/assets/home_images/paras.png)
47,Parasect,1,Normal,Mushroom Pokémon,405,60,95,80,60,80,30,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Effect Spore / Dry Skin,Damp,![/assets/home_images/parasect.png](/assets/home_images/parasect.png)
48,Venonat,1,Normal,Insect Pokémon,305,60,55,50,40,55,45,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Compound Eyes / Tinted Lens,Run Away,![/assets/home_images/venonat.png](/assets/home_images/venonat.png)
49,Venomoth,1,Normal,Poison Moth Pokémon,450,70,65,60,90,75,90,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Shield Dust / Tinted Lens,Wonder Skin,![/assets/home_images/venomoth.png](/assets/home_images/venomoth.png)
50,Diglett,1,Normal,Mole Pokémon,265,10,55,25,35,45,95,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Sand Veil / Arena Trap,Sand Force,![/assets/home_images/diglett.png](/assets/home_images/diglett.png)
50,Alolan Diglett,1,Normal,Mole Pokémon,265,10,55,30,35,45,90,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg) ![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Sand Veil / Tangling Hair,Sand Force,![/assets/home_images/diglett-alolan.png](/assets/home_images/diglett-alolan.png)
51,Dugtrio,1,Normal,Mole Pokémon,425,35,100,50,50,70,120,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Sand Veil / Arena Trap,Sand Force,![/assets/home_images/dugtrio.png](/assets/home_images/dugtrio.png)
51,Alolan Dugtrio,1,Normal,Mole Pokémon,425,35,100,60,50,70,110,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg) ![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Sand Veil / Tangling Hair,Sand Force,![/assets/home_images/dugtrio-alolan.png](/assets/home_images/dugtrio-alolan.png)
52,Meowth,1,Normal,Scratch Cat Pokémon,290,40,45,35,40,40,90,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Pickup / Technician,Unnerve,![/assets/home_images/meowth.png](/assets/home_images/meowth.png)
52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,290,40,35,35,50,40,90,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Pickup / Technician,Rattled,![/assets/home_images/meowth-alolan.png](/assets/home_images/meowth-alolan.png)
52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,290,50,65,55,40,40,40,![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Pickup / Tough Claws,Unnerve,![/assets/home_images/meowth-galarian.png](/assets/home_images/meowth-galarian.png)
53,Persian,1,Normal,Classy Cat Pokémon,440,65,70,60,65,65,115,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Limber / Technician,Unnerve,![/assets/home_images/persian.png](/assets/home_images/persian.png)
53,Alolan Persian,1,Normal,Classy Cat Pokémon,440,65,60,60,75,65,115,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Fur Coat / Technician,Rattled,![/assets/home_images/persian-alolan.png](/assets/home_images/persian-alolan.png)
54,Psyduck,1,Normal,Duck Pokémon,320,50,52,48,65,50,55,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Damp / Cloud Nine,Swift Swim,![/assets/home_images/psyduck.png](/assets/home_images/psyduck.png)
55,Golduck,1,Normal,Duck Pokémon,500,80,82,78,95,80,85,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Damp / Cloud Nine,Swift Swim,![/assets/home_images/golduck.png](/assets/home_images/golduck.png)
56,Mankey,1,Normal,Pig Monkey Pokémon,305,40,80,35,35,45,70,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Vital Spirit / Anger Point,Defiant,![/assets/home_images/mankey.png](/assets/home_images/mankey.png)
57,Primeape,1,Normal,Pig Monkey Pokémon,455,65,105,60,60,70,95,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Vital Spirit / Anger Point,Defiant,![/assets/home_images/primeape.png](/assets/home_images/primeape.png)
58,Growlithe,1,Normal,Puppy Pokémon,350,55,70,45,70,50,60,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Intimidate / Flash Fire,Justified,![/assets/home_images/growlithe.png](/assets/home_images/growlithe.png)
58,Hisuian Growlithe,1,Normal,Scout Pokémon,350,60,75,45,65,50,55,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg)![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg),Intimidate / Flash Fire,Justified,![/assets/home_images/growlithe-hisuian.png](/assets/home_images/growlithe-hisuian.png)
59,Arcanine,1,Normal,Legendary Pokémon,555,90,110,80,100,80,95,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Intimidate / Flash Fire,Justified,![/assets/home_images/arcanine.png](/assets/home_images/arcanine.png)
59,Hisuian Arcanine,1,Normal,Legendary Pokémon,555,95,115,80,95,80,90,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg)![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg),Intimidate / Flash Fire,Justified,![/assets/home_images/arcanine-hisuian.png](/assets/home_images/arcanine-hisuian.png)
60,Poliwag,1,Normal,Tadpole Pokémon,300,40,50,40,40,40,90,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Water Absorb / Damp,Swift Swim,![/assets/home_images/poliwag.png](/assets/home_images/poliwag.png)
61,Poliwhirl,1,Normal,Tadpole Pokémon,385,65,65,65,50,50,90,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Water Absorb / Damp,Swift Swim,![/assets/home_images/poliwhirl.png](/assets/home_images/poliwhirl.png)
62,Poliwrath,1,Normal,Tadpole Pokémon,510,90,95,95,70,90,70,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Water Absorb / Damp,Swift Swim,![/assets/home_images/poliwrath.png](/assets/home_images/poliwrath.png)
63,Abra,1,Normal,Psi Pokémon,310,25,20,15,105,55,90,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Synchronize / Inner Focus,Magic Guard,![/assets/home_images/abra.png](/assets/home_images/abra.png)
64,Kadabra,1,Normal,Psi Pokémon,400,40,35,30,120,70,105,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Synchronize / Inner Focus,Magic Guard,![/assets/home_images/kadabra.png](/assets/home_images/kadabra.png)
65,Alakazam,1,Normal,Psi Pokémon,500,55,50,45,135,95,120,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Synchronize / Inner Focus,Magic Guard,![/assets/home_images/alakazam.png](/assets/home_images/alakazam.png)
65,Mega Alakazam,1,Normal,Psi Pokémon,600,55,50,65,175,105,150,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Trace,-,![/assets/home_images/alakazam-mega.png](/assets/home_images/alakazam-mega.png)
